[Czas: 15:56:41.370]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 15:56:44.472]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 908996] treść nr: 29
[Czas: 15:56:50.669]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910172] |	 ZDAŁ A (-> B) |	 Wynik: 59.00 pkt
[Czas: 15:56:50.670]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910174] treść nr: 12
[Czas: 15:56:50.670]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910174] treść nr: 23
[Czas: 15:56:50.670]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910174] treść nr: 19
[Czas: 15:56:50.670]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910174] treść nr: 44
[Czas: 15:56:50.671]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910174] treść nr: 29
[Czas: 15:56:50.671]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910174] |	 Wynik cząstkowy: 60
[Czas: 15:56:50.671]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910174] |	 Wynik cząstkowy: 43
[Czas: 15:56:50.671]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910174] |	 Wynik cząstkowy: 47
[Czas: 15:56:50.671]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910174] |	 Wynik cząstkowy: 18
[Czas: 15:56:50.671]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910174] |	 Wynik cząstkowy: 73
[Czas: 15:56:50.672]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910174] |	 ZDAŁ A (-> B) |	 Wynik: 48.20 pkt
[Czas: 15:56:50.672]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910175] treść nr: 25
[Czas: 15:56:50.672]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910175] treść nr: 47
[Czas: 15:56:50.673]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910175] treść nr: 17
[Czas: 15:56:50.673]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910175] treść nr: 27
[Czas: 15:56:50.673]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910175] treść nr: 15
[Czas: 15:56:50.674]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910175] |	 Wynik cząstkowy: 48
[Czas: 15:56:50.674]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910175] |	 Wynik cząstkowy: 8
[Czas: 15:56:50.674]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910175] |	 Wynik cząstkowy: 83
[Czas: 15:56:50.674]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910175] |	 Wynik cząstkowy: 14
[Czas: 15:56:50.674]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910175] |	 Wynik cząstkowy: 96
[Czas: 15:56:50.675]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910175] |	 ZDAŁ A (-> B) |	 Wynik: 49.80 pkt
[Czas: 15:56:50.675]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910177] treść nr: 2
[Czas: 15:56:50.675]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910177] treść nr: 46
[Czas: 15:56:50.676]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910177] treść nr: 28
[Czas: 15:56:50.676]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910177] treść nr: 25
[Czas: 15:56:50.676]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910177] treść nr: 44
[Czas: 15:56:50.677]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910177] |	 Wynik cząstkowy: 9
[Czas: 15:56:50.676]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910177] |	 Wynik cząstkowy: 6
[Czas: 15:56:50.676]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910177] |	 Wynik cząstkowy: 96
[Czas: 15:56:50.676]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910177] |	 Wynik cząstkowy: 100
[Czas: 15:56:50.676]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910177] |	 Wynik cząstkowy: 81
[Czas: 15:56:50.677]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910177] |	 ZDAŁ A (-> B) |	 Wynik: 58.40 pkt
[Czas: 15:56:50.678]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910178] treść nr: 35
[Czas: 15:56:50.678]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910178] treść nr: 42
[Czas: 15:56:50.678]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910178] treść nr: 28
[Czas: 15:56:50.678]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910178] treść nr: 5
[Czas: 15:56:50.678]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910178] treść nr: 37
[Czas: 15:56:50.679]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910178] |	 Wynik cząstkowy: 87
[Czas: 15:56:50.679]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910178] |	 Wynik cząstkowy: 48
[Czas: 15:56:50.679]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910178] |	 Wynik cząstkowy: 55
[Czas: 15:56:50.679]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910178] |	 Wynik cząstkowy: 30
[Czas: 15:56:50.679]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910178] |	 Wynik cząstkowy: 12
[Czas: 15:56:50.680]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910178] |	 ZDAŁ A (-> B) |	 Wynik: 46.40 pkt
[Czas: 15:56:50.680]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910180] treść nr: 33
[Czas: 15:56:50.680]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910180] treść nr: 41
[Czas: 15:56:50.680]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910180] treść nr: 43
[Czas: 15:56:50.681]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910180] treść nr: 49
[Czas: 15:56:50.681]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910180] treść nr: 17
[Czas: 15:56:50.681]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910180] |	 Wynik cząstkowy: 98
[Czas: 15:56:50.681]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910180] |	 Wynik cząstkowy: 3
[Czas: 15:56:50.681]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910180] |	 Wynik cząstkowy: 49
[Czas: 15:56:50.681]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910180] |	 Wynik cząstkowy: 42
[Czas: 15:56:50.681]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910180] |	 Wynik cząstkowy: 93
[Czas: 15:56:50.682]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910180] |	 ZDAŁ A (-> B) |	 Wynik: 57.00 pkt
[Czas: 15:56:50.683]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910181] treść nr: 42
[Czas: 15:56:50.683]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910181] treść nr: 1
[Czas: 15:56:50.683]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910181] treść nr: 49
[Czas: 15:56:50.683]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910181] treść nr: 19
[Czas: 15:56:50.684]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910181] treść nr: 27
[Czas: 15:56:50.684]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910181] |	 Wynik cząstkowy: 63
[Czas: 15:56:50.684]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910181] |	 Wynik cząstkowy: 84
[Czas: 15:56:50.684]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910181] |	 Wynik cząstkowy: 9
[Czas: 15:56:50.684]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910181] |	 Wynik cząstkowy: 57
[Czas: 15:56:50.684]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910181] |	 Wynik cząstkowy: 2
[Czas: 15:56:50.685]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910181] |	 ZDAŁ A (-> B) |	 Wynik: 43.00 pkt
[Czas: 15:56:50.686]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910183] treść nr: 29
[Czas: 15:56:50.686]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910183] treść nr: 8
[Czas: 15:56:50.686]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910183] treść nr: 45
[Czas: 15:56:50.686]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910183] treść nr: 6
[Czas: 15:56:50.687]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910183] treść nr: 12
[Czas: 15:56:50.687]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910183] |	 Wynik cząstkowy: 52
[Czas: 15:56:50.687]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910183] |	 Wynik cząstkowy: 0
[Czas: 15:56:50.687]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910183] |	 Wynik cząstkowy: 9
[Czas: 15:56:50.687]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910183] |	 Wynik cząstkowy: 22
[Czas: 15:56:50.687]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910183] |	 Wynik cząstkowy: 73
[Czas: 15:56:50.688]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910183] |	 ZDAŁ A (-> B) |	 Wynik: 31.20 pkt
[Czas: 15:56:50.688]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910184] treść nr: 45
[Czas: 15:56:50.688]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910184] treść nr: 50
[Czas: 15:56:50.688]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910184] treść nr: 19
[Czas: 15:56:50.689]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910184] treść nr: 40
[Czas: 15:56:50.689]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910184] treść nr: 1
[Czas: 15:56:50.689]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910184] |	 Wynik cząstkowy: 54
[Czas: 15:56:50.689]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910184] |	 Wynik cząstkowy: 24
[Czas: 15:56:50.690]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910184] |	 Wynik cząstkowy: 27
[Czas: 15:56:50.689]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910184] |	 Wynik cząstkowy: 66
[Czas: 15:56:50.689]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910184] |	 Wynik cząstkowy: 46
[Czas: 15:56:50.690]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910184] |	 ZDAŁ A (-> B) |	 Wynik: 43.40 pkt
[Czas: 15:56:50.691]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910186] treść nr: 23
[Czas: 15:56:50.691]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910186] treść nr: 32
[Czas: 15:56:50.691]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910186] treść nr: 49
[Czas: 15:56:50.691]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910186] treść nr: 21
[Czas: 15:56:50.692]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910186] treść nr: 3
[Czas: 15:56:50.692]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910186] |	 Wynik cząstkowy: 23
[Czas: 15:56:50.692]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910186] |	 Wynik cząstkowy: 20
[Czas: 15:56:50.692]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910186] |	 Wynik cząstkowy: 96
[Czas: 15:56:50.692]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910186] |	 Wynik cząstkowy: 33
[Czas: 15:56:50.692]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910186] |	 Wynik cząstkowy: 96
[Czas: 15:56:50.693]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910186] |	 ZDAŁ A (-> B) |	 Wynik: 53.60 pkt
[Czas: 15:56:50.694]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910187] treść nr: 29
[Czas: 15:56:50.694]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910187] treść nr: 30
[Czas: 15:56:50.694]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910187] treść nr: 43
[Czas: 15:56:50.694]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910187] treść nr: 25
[Czas: 15:56:50.694]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910187] treść nr: 38
[Czas: 15:56:50.695]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910187] |	 Wynik cząstkowy: 5
[Czas: 15:56:50.695]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910187] |	 Wynik cząstkowy: 17
[Czas: 15:56:50.695]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910187] |	 Wynik cząstkowy: 96
[Czas: 15:56:50.695]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910187] |	 Wynik cząstkowy: 11
[Czas: 15:56:50.695]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910187] |	 Wynik cząstkowy: 36
[Czas: 15:56:50.696]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910187] |	 ZDAŁ A (-> B) |	 Wynik: 33.00 pkt
[Czas: 15:56:50.696]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910189] treść nr: 30
[Czas: 15:56:50.696]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910189] treść nr: 1
[Czas: 15:56:50.697]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910189] treść nr: 26
[Czas: 15:56:50.697]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910189] treść nr: 48
[Czas: 15:56:50.697]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910189] treść nr: 40
[Czas: 15:56:50.697]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910189] |	 Wynik cząstkowy: 15
[Czas: 15:56:50.697]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910189] |	 Wynik cząstkowy: 52
[Czas: 15:56:50.697]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910189] |	 Wynik cząstkowy: 65
[Czas: 15:56:50.697]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910189] |	 Wynik cząstkowy: 48
[Czas: 15:56:50.697]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910189] |	 Wynik cząstkowy: 40
[Czas: 15:56:50.698]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910189] |	 ZDAŁ A (-> B) |	 Wynik: 44.00 pkt
[Czas: 15:56:50.698]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910190] treść nr: 37
[Czas: 15:56:50.699]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910190] treść nr: 19
[Czas: 15:56:50.699]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910190] treść nr: 6
[Czas: 15:56:50.699]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910190] treść nr: 35
[Czas: 15:56:50.699]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910190] treść nr: 39
[Czas: 15:56:50.700]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910190] |	 Wynik cząstkowy: 30
[Czas: 15:56:50.700]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910190] |	 Wynik cząstkowy: 65
[Czas: 15:56:50.700]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910190] |	 Wynik cząstkowy: 25
[Czas: 15:56:50.700]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910190] |	 Wynik cząstkowy: 89
[Czas: 15:56:50.700]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910190] |	 Wynik cząstkowy: 54
[Czas: 15:56:50.701]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910190] |	 ZDAŁ A (-> B) |	 Wynik: 52.60 pkt
[Czas: 15:56:50.701]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 910192] treść nr: 37
[Czas: 15:56:50.701]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910192] treść nr: 14
[Czas: 15:56:50.701]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 910192] treść nr: 45
[Czas: 15:56:50.702]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 910192] treść nr: 32
[Czas: 15:56:50.702]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 910192] treść nr: 41
[Czas: 15:56:50.702]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 910192] |	 Wynik cząstkowy: 51
[Czas: 15:56:50.702]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 910192] |	 Wynik cząstkowy: 8
[Czas: 15:56:50.702]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 910192] |	 Wynik cząstkowy: 9
[Czas: 15:56:50.702]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 910192] |	 Wynik cząstkowy: 38
[Czas: 15:56:50.702]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 910192] |	 Wynik cząstkowy: 19
[Czas: 15:56:50.703]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 910192] |	 OBLAŁ A (Koniec) |	 Wynik: 25.00 pkt
[Czas: 15:56:50.704]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 910193] treść nr: 24
